Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,031011,1973,166.4,274.9,540.0,398.8,72.5,61.4,24.2,6.5,22.6,78.0,287.1,919.4,2851.8
IDCJAC0001,031011,1974,346.9,717.8,764.4,74.4,173.0,8.6,2.6,9.4,10.4,18.4,73.4,299.2,2498.5
IDCJAC0001,031011,1975,169.8,539.8,308.4,158.4,88.6,70.2,30.8,30.6,101.2,71.1,94.0,765.1,2428.0
IDCJAC0001,031011,1976,180.6,401.8,461.2,425.4,42.0,26.2,41.0,5.8,8.6,25.2,60.4,321.9,2000.1
IDCJAC0001,031011,1977,353.3,960.8,559.4,472.0,109.1,22.4,14.2,31.6,41.3,36.6,80.0,103.2,2783.9
IDCJAC0001,031011,1978,516.7,220.4,127.2,137.8,87.1,15.0,9.0,39.2,7.2,139.8,74.2,51.4,1425.0
IDCJAC0001,031011,1979,1333.2,506.2,405.4,196.6,59.8,115.8,20.2,17.6,10.4,17.0,23.2,130.4,2835.8
IDCJAC0001,031011,1980,281.4,402.8,199.8,123.0,95.6,43.8,21.0,54.8,0.0,14.0,100.8,134.8,1471.8
IDCJAC0001,031011,1981,1417.4,585.2,175.0,82.8,121.4,17.0,59.0,0.2,88.6,48.4,139.4,59.2,2793.6
IDCJAC0001,031011,1982,206.4,189.6,293.6,391.8,42.6,15.0,10.6,80.8,17.8,3.8,93.0,100.4,1445.4
IDCJAC0001,031011,1983,99.6,58.4,803.6,172.2,299.0,14.8,13.6,45.6,60.4,68.0,61.8,124.8,1821.8
IDCJAC0001,031011,1984,222.4,546.2,336.4,216.2,46.4,63.6,26.8,4.0,0.8,38.4,136.0,114.8,1752.0
IDCJAC0001,031011,1985,651.8,608.8,611.8,160.4,91.6,18.0,14.0,12.4,17.6,95.0,171.6,37.2,2490.2
IDCJAC0001,031011,1986,450.2,261.4,243.6,271.4,34.6,76.2,19.2,24.6,16.0,40.6,61.8,78.6,1578.2
IDCJAC0001,031011,1987,297.0,427.8,226.8,307.4,102.6,144.2,41.4,16.0,63.2,13.0,62.8,291.2,1993.4
IDCJAC0001,031011,1988,133.2,159.8,338.4,103.8,101.6,34.2,39.4,31.8,87.6,34.8,275.8,261.8,1602.2
IDCJAC0001,031011,1989,327.4,246.2,520.2,550.6,160.2,42.8,14.6,0.8,5.6,82.8,372.0,170.2,2493.4
IDCJAC0001,031011,1990,128.0,30.4,640.8,289.8,218.8,79.4,10.2,0.0,82.6,5.4,3.2,353.6,1842.2
IDCJAC0001,031011,1991,766.6,741.0,61.6,135.2,99.6,22.2,59.8,4.8,0.2,5.2,52.0,97.8,2046.0
IDCJAC0001,031011,1992,127.6,323.4,165.4,246.0,199.4,3.4,34.4,31.0,27.6,13.4,7.2,368.0,1546.8
IDCJAC0001,031011,1993,485.0,236.0,27.8,239.4,91.6,58.8,58.0,32.8,74.4,24.6,87.0,158.8,1574.2
IDCJAC0001,031011,1994,479.0,842.4,62.0,211.6,50.8,57.2,95.4,37.6,37.0,60.2,7.6,49.6,1990.4
IDCJAC0001,031011,1995,121.0,700.0,601.2,23.8,159.0,72.8,7.4,140.2,4.4,99.4,90.6,55.0,2074.8
IDCJAC0001,031011,1996,368.4,326.8,515.2,206.2,86.2,57.2,45.8,9.6,7.4,158.8,60.0,241.4,2083.0
IDCJAC0001,031011,1997,424.2,377.6,321.4,79.2,30.6,38.4,14.8,37.4,42.8,44.4,167.4,321.6,1899.8
IDCJAC0001,031011,1998,349.6,367.2,142.6,134.8,84.8,30.0,24.8,40.8,86.4,48.4,168.4,187.0,1664.8
IDCJAC0001,031011,1999,273.0,652.6,690.4,267.0,15.6,33.4,41.0,49.0,71.4,28.2,233.4,179.6,2534.6
IDCJAC0001,031011,2000,112.8,1287.0,472.4,405.2,61.0,22.0,4.4,55.6,5.2,47.8,245.2,430.2,3148.8
IDCJAC0001,031011,2001,269.8,801.8,126.6,167.2,3.2,45.8,7.8,5.6,18.8,52.6,112.4,56.2,1667.8
IDCJAC0001,031011,2002,135.6,220.6,null,101.0,64.8,3.2,5.0,20.4,7.2,0.0,17.6,78.0,null
IDCJAC0001,031011,2003,178.0,213.2,222.6,258.4,90.2,35.0,34.6,13.6,2.4,8.2,18.6,204.4,1279.2
IDCJAC0001,031011,2004,331.2,716.2,1102.4,163.2,37.2,20.4,28.8,9.8,6.6,21.4,97.4,243.0,2777.6
IDCJAC0001,031011,2005,524.4,108.2,412.8,171.6,19.8,33.0,63.6,59.6,3.8,8.8,30.2,35.0,1470.8
IDCJAC0001,031011,2006,339.0,272.4,585.2,634.6,47.4,93.2,41.6,16.8,67.2,68.6,28.4,94.6,2289.0
IDCJAC0001,031011,2007,179.6,686.4,212.6,68.8,146.8,58.6,22.2,13.0,4.8,31.6,79.0,309.6,1813.0
IDCJAC0001,031011,2008,399.0,543.2,771.6,13.0,44.8,20.0,48.2,2.8,39.4,80.0,58.0,195.2,2215.2
IDCJAC0001,031011,2009,868.0,620.0,152.0,134.0,87.2,4.4,5.0,8.0,3.6,30.8,208.2,78.2,2199.4
IDCJAC0001,031011,2010,696.6,290.8,436.2,252.8,30.6,10.8,36.6,62.6,91.8,184.6,204.4,362.0,2659.8
IDCJAC0001,031011,2011,410.0,999.2,402.0,65.8,13.6,69.2,12.0,9.6,14.0,394.4,82.0,151.4,2623.2
IDCJAC0001,031011,2012,355.4,268.2,907.6,156.6,148.8,null,null,null,null,null,null,null,null
